,weather,base,dt,timezone,id,name,cod,Lon,Lat,main.temp,main.feels_like,main.temp_min,Max Temp,main.pressure,Humidity,main.sea_level,main.grnd_level,Wind Speed,wind.deg,Cloud Cover,sys.country,sys.sunrise,sys.sunset,message,visibility,sys.type,sys.id,wind.gust,rain.1h,snow.1h
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885436.0,-25200.0,5392593.0,San Ramon,200,-121.98,37.78,85.69,79.29,80.01,89.01,1014.0,10.0,,,3.02,344.0,1.0,US,1588856696.0,1588907035.0,,16093.0,1.0,4774.0,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,1588885499.0,32400.0,1651591.0,Amahai,200,128.92,-3.33,79.29,86.65,79.29,79.29,1009.0,84.0,1009.0,1009.0,4.29,94.0,61.0,ID,1588886486.0,1588929611.0,,,,,,0.38,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,1588885499.0,36000.0,2171465.0,Clarence Town,200,151.78,-32.58,48.85,46.35,46.0,54.0,1019.0,93.0,,,3.18,315.0,0.0,AU,1588883432.0,1588921693.0,,10000.0,1.0,9605.0,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,1588885462.0,43200.0,2191562.0,Dunedin,200,170.5,-45.87,52.36,50.95,51.01,54.0,1000.0,87.0,,,1.99,248.0,97.0,NZ,1588880589.0,1588915551.0,,,3.0,2031989.0,5.99,0.25,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1588885500.0,-10800.0,3831208.0,Qaanaaq,200,-69.36,77.48,16.9,10.74,16.9,16.9,1029.0,89.0,1029.0,1029.0,1.19,104.0,100.0,GL,0.0,0.0,,,,,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,1588885500.0,-18000.0,3827693.0,La Macarena,200,-73.78,2.18,83.16,89.44,83.16,83.16,1010.0,67.0,1010.0,983.0,3.33,9.0,76.0,CO,1588848329.0,1588892266.0,,,,,,,
0,,,,,,,404,,,,,,,,,,,,,,,,,city not found,,,,,,
