,name,Lon,Lat,Max Temp,Wind Speed,Humidity,Cloud Cover
0,Santa Isabel Rio Negro,-65.02,-0.41,80.98,3.33,94.0,38.0
0,Boende,20.87,-0.22,71.89,3.62,97.0,100.0
0,Kisangani,25.2,0.52,68.07,1.23,98.0,100.0
0,Thinadhoo,72.93,0.53,84.6,14.92,78.0,56.0
0,Amapá,-52.0,1.0,73.4,4.63,98.0,100.0
0,Mitú,-70.17,1.2,81.05,1.81,93.0,69.0
0,La Macarena,-73.78,2.18,83.16,3.33,67.0,76.0
0,Moroto,34.67,2.53,67.96,4.41,81.0,71.0
0,Kudahuvadhoo,72.89,2.67,84.61,13.71,75.0,6.0
0,Butaritari,172.79,3.07,83.17,9.62,78.0,100.0
0,Libenge,18.63,3.65,73.74,1.97,96.0,72.0
0,Mahibadhoo,72.97,3.78,84.47,12.12,74.0,0.0
0,Inírida,-67.92,3.87,84.4,0.47,83.0,61.0
0,Meulaboh,96.13,4.14,75.02,1.14,96.0,100.0
0,Paka,103.44,4.64,78.8,3.71,100.0,96.0
0,Takoradze,-1.76,4.88,81.61,7.65,85.0,31.0
0,Yenagoa,6.26,4.92,77.65,3.76,85.0,13.0
0,Mumford,-0.76,5.26,82.04,9.98,85.0,93.0
0,Obo,26.49,5.4,70.09,1.54,97.0,96.0
0,Sarangani,125.46,5.4,83.43,8.99,77.0,1.0
0,George Town,100.34,5.41,80.6,1.12,100.0,20.0
0,Tambura,27.47,5.6,70.56,2.33,92.0,100.0
0,Bétaré Oya,14.08,5.6,71.71,0.45,90.0,99.0
0,Anloga,0.9,5.79,84.2,11.41,83.0,40.0
0,Buchanan,-10.05,5.88,81.23,4.7,83.0,88.0
0,Mabay,124.47,6.06,80.51,3.11,80.0,39.0
0,Koforidua,-0.26,6.09,84.2,11.41,83.0,75.0
0,Hambantota,81.12,6.12,81.55,11.63,80.0,100.0
0,Porto-Novo,2.6,6.5,84.2,11.41,83.0,40.0
0,Sai Buri,101.62,6.7,80.26,4.74,88.0,99.0
0,Mīzan Teferī,35.58,6.98,63.54,2.86,91.0,100.0
0,Yaan,8.57,7.38,82.83,9.37,73.0,63.0
0,Bonthe,-12.51,7.53,80.2,3.6,88.0,78.0
0,San Cristobal,-72.22,7.77,98.6,23.04,30.0,20.0
0,Simití,-73.94,7.96,89.92,2.8,61.0,93.0
0,Eyl,49.82,7.98,83.8,7.18,71.0,0.0
0,Balabac,117.06,7.99,83.43,7.92,77.0,84.0
0,Marawi,124.29,8.0,78.01,5.99,85.0,11.0
0,Kanniyākumāri,77.57,8.08,83.84,8.3,80.0,99.0
0,Ouadda,22.4,8.08,71.04,7.76,90.0,100.0
0,Gamarra,-73.74,8.32,89.35,4.36,66.0,100.0
0,Garoowe,48.48,8.41,81.03,10.92,69.0,16.0
0,Gogrial,28.1,8.53,83.16,6.76,60.0,88.0
0,Beyla,-8.63,8.68,73.92,2.33,84.0,20.0
0,Deder,41.45,9.32,57.67,2.08,94.0,62.0
0,Basay,122.64,9.41,81.7,3.98,78.0,87.0
0,Bandarbeyla,50.81,9.49,83.23,8.55,72.0,0.0
0,Dire Dawa,41.87,9.59,72.41,5.35,67.0,34.0
0,Ferkessédougou,-5.2,9.6,81.5,8.41,70.0,37.0
0,Bulata,122.4,9.86,82.85,4.9,77.0,22.0
0,Vinh Long,105.97,10.25,78.8,2.68,100.0,20.0
0,Fria,-13.58,10.42,78.24,4.45,86.0,90.0
0,Kavaratti,72.64,10.57,85.64,7.83,70.0,46.0
0,Mandiana,-8.68,10.63,86.5,4.56,49.0,96.0
0,Dingle,122.67,11.0,78.98,5.44,88.0,7.0
0,Bubaque,-15.83,11.28,78.46,20.22,77.0,5.0
0,Banikoara,2.44,11.3,92.57,4.36,23.0,27.0
0,Funtua,7.31,11.52,80.26,3.09,21.0,48.0
0,Port Blair,92.75,11.67,83.34,6.49,82.0,100.0
0,Ngama,17.17,11.78,92.77,3.89,31.0,50.0
0,San Policarpo,125.51,12.18,81.81,10.38,85.0,90.0
0,Anito,125.29,12.45,80.08,7.16,89.0,83.0
0,Ullal,74.85,12.8,81.19,5.95,77.0,100.0
0,Kattivākkam,80.32,13.22,86.0,3.36,79.0,40.0
0,Bathsheba,-59.52,13.22,84.2,21.92,66.0,20.0
0,Diffa,12.61,13.32,87.33,2.89,23.0,80.0
0,Samut Sakhon,100.27,13.55,88.0,6.93,74.0,20.0
0,Markala,-6.07,13.7,94.1,4.61,20.0,16.0
0,Kutum,24.67,14.2,75.02,10.6,19.0,2.0
0,Ouallam,2.09,14.32,86.54,6.26,11.0,13.0
0,City of San Pedro,121.02,14.35,86.0,5.99,77.0,80.0
0,Rāyadrug,76.87,14.7,82.24,8.79,60.0,99.0
0,Bakel,-12.46,14.9,96.17,5.73,13.0,6.0
0,São Filipe,-24.5,14.9,73.92,8.84,79.0,36.0
0,Praia,-23.51,14.92,75.2,18.34,69.0,75.0
0,Iralaya,-83.23,15.0,91.4,11.41,63.0,40.0
0,Sayyan,44.32,15.17,63.37,7.76,46.0,14.0
0,Palauig,119.9,15.44,83.62,3.09,74.0,65.0
0,Puerto Escondido,-97.07,15.85,86.0,8.05,70.0,40.0
0,Salalah,54.09,17.02,82.4,6.93,88.0,20.0
0,Dābhol,73.17,17.6,76.14,2.04,89.0,55.0
0,Yārāda,83.27,17.65,82.4,5.82,88.0,20.0
0,Santa Cruz de Barahona,-71.1,18.21,85.48,10.83,62.0,3.0
0,Abhā,42.51,18.22,71.6,1.66,77.0,20.0
0,Faya,42.45,18.39,71.6,0.94,77.0,20.0
0,Phonhong,102.42,18.5,80.2,2.95,83.0,100.0
0,Bilma,12.92,18.69,84.85,5.77,13.0,0.0
0,Coahuayana Viejo,-103.68,18.73,89.6,11.41,43.0,75.0
0,Wanning,110.4,18.8,79.38,11.25,91.0,81.0
0,San Patricio,-104.7,19.22,82.4,7.27,78.0,40.0
0,Bodden Town,-81.25,19.28,87.8,11.41,74.0,40.0
0,Taretán,-101.92,19.33,80.6,11.41,34.0,5.0
0,Hilo,-155.09,19.73,80.6,8.05,61.0,1.0
0,Lingao,109.69,19.91,79.39,10.89,72.0,41.0
0,Tomatlán,-105.25,19.93,90.73,8.32,43.0,0.0
0,Sittwe,92.9,20.15,80.46,11.48,67.0,0.0
0,Tessalit,1.01,20.2,89.35,11.27,11.0,0.0
0,Adrar,-10.07,20.5,96.1,10.02,15.0,89.0
0,Moa,-74.94,20.66,83.16,4.74,71.0,54.0
0,Ixtapa,-105.2,20.7,84.2,11.41,70.0,40.0
0,Kahului,-156.47,20.89,80.6,12.75,61.0,40.0
0,Nouadhibou,-17.03,20.93,68.0,18.34,72.0,0.0
0,Progreso,-89.67,21.28,93.2,11.41,36.0,75.0
0,Makakilo City,-158.09,21.35,80.6,10.29,65.0,20.0
0,Cockburn Town,-71.14,21.46,84.2,6.93,74.0,40.0
0,Kapaa,-159.32,22.08,77.0,18.34,69.0,75.0
0,Dwārka,68.97,22.24,81.14,11.3,86.0,0.0
0,Hong Kong,114.16,22.29,82.99,1.99,86.0,98.0
0,Satwās,76.68,22.53,84.52,5.19,17.0,0.0
0,Sur,59.53,22.57,91.04,5.44,39.0,14.0
0,Simao,100.97,22.79,66.81,0.72,65.0,0.0
0,Lashio,97.75,22.93,66.13,1.61,70.0,0.0
0,Cedral,-100.73,23.8,78.82,9.8,26.0,0.0
0,Ishigaki,124.16,24.34,75.76,13.58,86.0,30.0
0,Hirara,125.28,24.8,75.49,13.65,83.0,12.0
0,Jiwani,61.74,25.05,84.45,10.45,70.0,79.0
0,Esna,32.55,25.29,80.6,11.16,30.0,0.0
0,Doha,51.53,25.29,82.4,9.17,32.0,92.0
0,Chabahar,60.64,25.29,85.15,13.31,66.0,58.0
0,Naugachhia,87.1,25.4,83.91,5.19,30.0,0.0
0,Valle Hermoso,-97.83,25.67,91.4,12.75,52.0,75.0
0,China,-99.23,25.7,91.35,20.27,44.0,2.0
0,Brownsville,-97.5,25.9,91.4,17.22,49.0,40.0
0,Harlingen,-97.7,26.19,91.4,19.46,52.0,20.0
0,Gushikawa,127.87,26.35,69.8,17.22,94.0,90.0
0,High Rock,-78.28,26.62,78.8,17.22,61.0,75.0
0,Ţahţā,31.5,26.77,82.4,9.17,13.0,12.0
0,Guerrero Negro,-114.06,27.98,82.51,14.34,30.0,0.0
0,Spring Hill,-82.53,28.48,78.8,10.29,24.0,1.0
0,Los Llanos de Aridane,-17.92,28.66,68.0,9.17,72.0,20.0
0,Awjilah,21.29,29.11,78.44,4.47,15.0,62.0
0,El Campo,-96.27,29.2,80.6,17.22,51.0,90.0
0,Jumla,82.18,29.27,40.28,4.47,67.0,11.0
0,Ninghai,121.42,29.29,72.0,5.99,97.0,100.0
0,Tiznit Province,-9.5,29.58,62.17,5.39,79.0,41.0
0,Huangmei,116.03,30.19,72.9,3.8,93.0,55.0
0,Santa Cruz,-9.6,30.42,66.2,11.41,82.0,0.0
0,San Quintín,-115.95,30.48,74.97,7.49,46.0,22.0
0,Joshīmath,79.57,30.57,45.45,8.84,48.0,1.0
0,Ajdabiya,20.23,30.76,71.13,15.35,59.0,1.0
0,Temple,-97.34,31.1,80.6,21.92,54.0,75.0
0,Kiryat Gat,34.76,31.61,66.99,3.56,68.0,0.0
0,Palestine,35.2,31.92,66.99,3.36,72.0,0.0
0,Safi,-9.24,32.3,64.76,8.41,86.0,0.0
0,Rosarito,-117.03,32.33,86.0,8.05,51.0,1.0
0,Jiangyan,120.14,32.51,71.01,4.0,79.0,91.0
0,Fortuna Foothills,-114.41,32.66,105.01,6.93,6.0,1.0
0,Ponta do Sol,-17.1,32.67,64.4,5.82,72.0,20.0
0,Ankang,109.02,32.68,63.82,0.36,90.0,100.0
0,Fukuechō,128.84,32.69,65.93,15.68,70.0,81.0
0,Fareydūnshahr,50.12,32.94,41.83,5.1,62.0,0.0
0,Camacha,-16.33,33.08,66.2,4.7,68.0,40.0
0,Qinnan,119.91,33.25,67.26,17.16,87.0,100.0
0,Griffin,-84.26,33.25,69.01,8.05,31.0,1.0
0,Mengcheng,116.57,33.26,67.17,8.19,94.0,96.0
0,Myrtle Beach,-78.89,33.69,70.0,12.75,33.0,1.0
0,Leh,77.58,34.17,35.87,4.21,67.0,48.0
0,Lompoc,-120.46,34.64,75.99,14.99,55.0,1.0
0,Shimoda,138.95,34.67,58.37,4.99,67.0,99.0
0,Meadow Lake,-106.54,34.8,90.0,13.87,6.0,40.0
0,Katsuura,140.3,35.13,55.4,5.82,50.0,75.0
0,Nador,-2.93,35.17,68.0,6.93,77.0,90.0
0,Jining,116.58,35.41,59.95,10.49,95.0,100.0
0,Kissamos,23.66,35.49,64.0,4.7,82.0,75.0
0,Semnan,53.4,35.57,64.13,3.58,35.0,0.0
0,Hasaki,140.83,35.73,50.0,1.12,93.0,75.0
0,Baghlan,68.71,36.13,74.03,7.09,44.0,95.0
0,Pahrump,-115.98,36.21,93.0,1.99,6.0,0.0
0,Mikuni,136.15,36.22,44.6,2.24,81.0,40.0
0,Sarakhs,61.16,36.54,71.6,4.7,60.0,51.0
0,Pacific Grove,-121.92,36.62,81.0,5.82,55.0,1.0
0,Salinas,-121.66,36.68,81.0,12.75,46.0,1.0
0,Paros,25.15,37.08,60.01,14.99,71.0,91.0
0,Saint George,-113.58,37.1,84.0,3.36,14.0,1.0
0,Archidona,-4.39,37.1,68.0,6.35,75.0,1.0
0,Hurricane,-113.29,37.18,84.0,3.36,14.0,1.0
0,Megalopolis,22.14,37.4,62.01,4.59,72.0,40.0
0,Half Moon Bay,-122.43,37.46,87.01,6.93,18.0,5.0
0,Ponta Delgada,-25.67,37.73,62.6,13.87,82.0,40.0
0,San Ramon,-121.98,37.78,89.01,3.02,10.0,1.0
0,Dinar,30.17,38.06,51.8,6.93,87.0,75.0
0,Laguna,-121.42,38.42,87.8,11.41,12.0,1.0
0,Montrose,-108.27,38.42,71.6,17.22,8.0,1.0
0,Ribeira Grande,-28.7,38.52,64.4,18.34,88.0,40.0
0,Forestville,-76.88,38.85,69.01,11.41,23.0,1.0
0,Sterling,-77.43,39.01,68.0,11.41,24.0,20.0
0,Dalianwan,121.69,39.03,55.4,6.71,82.0,40.0
0,Lagoa,-27.98,39.05,62.26,18.95,83.0,31.0
0,Laurel,-76.85,39.1,68.0,10.29,33.0,1.0
0,Hamilton,-84.53,39.18,68.0,13.87,34.0,75.0
0,Paola,16.04,39.36,60.8,5.82,82.0,0.0
0,Peniche,-9.38,39.36,63.0,7.0,84.0,88.0
0,Pleasantville,-74.52,39.39,66.2,12.75,22.0,1.0
0,Bud,-86.18,39.45,64.0,20.8,39.0,90.0
0,Fallon,-118.78,39.47,71.01,8.01,10.0,33.0
0,Miyako,141.95,39.64,47.71,4.32,64.0,0.0
0,Jiuquan,98.52,39.74,49.26,8.63,50.0,97.0
0,Cabras,8.53,39.93,54.0,3.0,74.0,14.0
0,Gazli,63.45,40.13,74.77,9.75,53.0,96.0
0,Lata,-8.33,40.16,64.99,1.01,80.0,68.0
0,Greensburg,-79.54,40.3,62.6,17.22,27.0,75.0
0,Yangi Marg`ilon,71.72,40.43,68.0,6.93,42.0,100.0
0,Zhangjiakou Shi Xuanhua Qu,115.04,40.61,58.06,3.65,71.0,100.0
0,Freeport,-73.58,40.66,66.2,8.05,17.0,1.0
0,Plainview,-73.47,40.78,66.2,8.05,17.0,1.0
0,Eureka,-124.16,40.8,69.01,5.99,53.0,66.0
0,Winnemucca,-117.74,40.97,66.2,13.87,11.0,1.0
0,Elko,-115.5,41.0,64.99,4.7,13.0,1.0
0,Bourbonnais,-87.88,41.14,66.2,13.87,32.0,40.0
0,Indianola,-93.56,41.36,63.0,4.7,36.0,90.0
0,Bethel,-73.41,41.37,64.99,9.17,20.0,1.0
0,Barcelos,-8.62,41.54,64.99,2.24,100.0,75.0
0,Bafra,35.91,41.57,53.6,6.93,81.0,75.0
0,Scottsbluff,-103.67,41.87,60.01,27.51,33.0,40.0
0,Khani,42.96,41.96,55.4,9.17,93.0,40.0
0,Jamestown,-79.24,42.1,55.4,26.4,37.0,40.0
0,Palmer,-72.33,42.16,64.99,9.17,17.0,75.0
0,Radnevo,25.93,42.3,55.4,9.17,66.0,40.0
0,Ingham,-84.38,42.6,59.0,16.11,26.0,40.0
0,Albany,-73.97,42.6,64.99,1.99,15.0,58.0
0,Rupert,-113.68,42.62,55.4,6.93,22.0,1.0
0,Vrangel',133.08,42.73,47.12,1.01,68.0,2.0
0,Muros,-9.06,42.78,61.0,14.0,81.0,95.0
0,Kumul,93.45,42.8,53.4,7.07,35.0,0.0
0,Hunchun,130.36,42.87,49.78,0.67,56.0,61.0
0,Panshi,126.06,42.94,55.15,5.59,58.0,100.0
0,Oneida,-75.47,43.2,57.2,16.11,33.0,90.0
0,Carballo,-8.69,43.21,57.99,5.01,92.0,63.0
0,Muskegon,-86.13,43.3,57.2,11.41,22.0,40.0
0,Nemuro,145.57,43.32,39.72,7.99,76.0,0.0
0,Coos Bay,-124.22,43.37,73.99,19.46,59.0,1.0
0,Zhengjiatun,123.51,43.51,60.64,11.21,49.0,100.0
0,Raymond,-70.47,43.9,60.01,1.99,49.0,91.0
0,Zhanakorgan,67.25,43.91,72.59,9.01,38.0,85.0
0,Rapid Valley,-103.15,44.06,55.4,28.86,43.0,20.0
0,Shelburne,-80.2,44.08,48.99,13.87,75.0,75.0
0,Agen,0.63,44.2,71.01,9.17,56.0,100.0
0,Sovetskaya,41.17,44.78,55.0,5.01,10.0,87.0
0,Yushu,126.53,44.8,60.15,12.73,49.0,100.0
0,Saint Anthony,-93.22,45.02,60.01,10.29,21.0,1.0
0,Shangzhi,127.97,45.22,57.06,9.84,60.0,100.0
0,Port Hawkesbury,-61.35,45.62,34.0,13.87,97.0,90.0
0,Saint-Jérôme,-74.0,45.78,57.99,5.82,28.0,75.0
0,Morbegno,9.57,46.14,62.01,2.08,56.0,55.0
0,Asău,26.4,46.43,45.0,4.38,78.0,85.0
0,Oga,10.35,46.46,50.0,4.7,75.0,16.0
0,Nevel'sk,141.86,46.67,37.4,8.95,93.0,75.0
0,Marystown,-55.15,47.17,39.0,0.13,75.0,80.0
0,Channel-Port aux Basques,-59.14,47.57,33.01,4.47,95.0,100.0
0,Bay Roberts,-53.26,47.6,46.99,1.86,68.0,99.0
0,Torbay,-52.73,47.67,48.0,6.93,65.0,75.0
0,Bonaventure,-65.49,48.05,50.0,4.7,31.0,1.0
0,Tiszanagyfalu,21.48,48.1,51.8,3.36,57.0,65.0
0,Chernyshkovskiy,42.23,48.42,58.21,2.06,82.0,100.0
0,Plérin,-2.78,48.54,59.0,5.12,76.0,100.0
